Timestamp,Your major:,Are you an international student?,Your living arrangement during this pandemic,Does your living arrangement during this pandemic make it difficult for you to take the most out of online instruction?,How motivated are you about learning after this pandemic?,How well are you able to interact with your classmates about school work through zoom after this pandemic?,How well are you able to interact with your instructors through zoom after this pandemic?,"Describe your sense of belonging to UCLA after this pandemic. This could include ability to cope with challenges, feeling relaxed, not feeling excluded, interaction with diverse students and faculty, etc.",What are the concerns that you have after this pandemic?,In what way if any has this pandemic affected your anxiety about success in academics?,Describe if zoom has helped to lower the effect of social distancing on your academic and social life?,In what way if any has this pandemic affected your philosophy of life and what you consider to be the most important?,"We all talk about the negative effects of this pandemic, please share any positive affect this pandemic has had on you?"
2020/04/25 5:49:09 AM MDT,STEM,No,In my apartment,Yes,Less motivated than before?,2,1,"I miss having interactions with my peers. After meeting my professors through Zoom, it is really unfortunate that I couldn't experience a structured learning environment. My professors have been very kind in adjusting the workload and administrating testing environments for their students.  ","I am concerned with how life will be after this pandemic. I am worried that it has greatly impacted my normal routine. I am the kind of person who thrives off my surroundings, meaning my mental health reflects the environment I am put in. UCLA is my home and I feel most comfortable there, surrounded by my friends. I wonder when things will settle down again.","I am definitely anxious with keeping up with my work. For one of my classes, my professor is still getting the hang of uploading lectures to CCLE. Sometimes, it causes me to fall behind because it isn't the same like attending in-class lectures. I really miss the structured classroom environment. Trying to balance all my personal struggles as well as my academic concerns has proven to be quite difficult. ","It's much more difficult to befriend others through Zoom, especially if my classes don't offer live lectures. I do feel less social then when I was on campus.","I have realized that I have missed out on a lot of memories I could have made with my friends, especially my friends who are graduating this year. I put off making time to hangout with them because I thought I could just do that during the Spring Quarter. However, that doesn't seem to be an option. It seems really trivial to others, but my friends have been my rock through college. I also realized that I took the campus for granted because I miss the environment I was surrounded by and all the services I was granted access too. I just miss it all.",This pandemic has given me time to try to determine my life goals again. It has given me time to plan out my future and even reconnect with old friends! 
2020/04/25 5:52:15 AM MDT,STEM,Yes,In my apartment,No,Less motivated than before?,1,2,,,,,,
2020/04/25 6:22:18 AM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,I just miss having a real place to call home. UCLA became my life and to transition back to on old one is hard. It's like I got to part of UCLA for 2 quarter and now I'm back in high school.,"Concerns related to UCLA include my sport's season, how these courses after my major, and the safety of campus.",It's a lot harder to be in this environment and pretend like nothing has changed. This makes me more anxious when doing work.,"Absolutely, I haven't left my house beside to do the essentials.",It hasn't yet.,I find it easier to approach professors and TAs.
2020/04/25 6:25:20 AM MDT,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,"After having to leave UCLA due to the pandemic it definitely feels harder to be a part of the UCLA community. Not being able to live on campus, see peers face to face, meet new people, join clubs, and attend social events, I feel very disconnected from UCLA as a whole. That being said I do feel that my classmates and I have made an effort to community through groupme and group texts way more than before, whether that be for support with class material or just to socialize.","I'm mostly concerned about not knowing what the future will look like in terms of how classes will be offered, how available jobs and internships will be, and how hard it will be to meet new people and have new experiences. I'm currently a freshman so I haven't spent a ton of time at UCLA and I was very upset to have to leave right when I truly felt settled in. I don't like not knowing how long it will be before I can go back to campus. Fortunately, none of my family have been affected by the disease and my parents are lucky enough to be able to work from home so that is a great stress reliever. ","Truthfully, the lack in motivation I've experienced is probably the biggest risk to my academic success. I've never had to do remote learning before and I'm also someone who works best when on a schedule so the switch to online classes has been quite the adjustment. Additionally, the lack of face to face contact in classes makes it harder to form study groups or work group projects or even ask my professors questions.","Academically, I think zoom has been useful especially with the screen sharing and groupchat functions. However, I don't feel that zoom has done much to lower the effect of social distancing on my social life since only one of my discussion sections uses it in a way where we can interact with our peers. ","Being a 19 year-old the most important things to me were my education, my social life, my health and my family. All of these either have or could potentially be compromised due to this pandemic, which is scary to think about. Now, the virus hasn't directly affected my family or friends (thankfully) so I often find myself mostly dwelling on all the opportunities and milestones I'm missing out on since my college experience has been put on pause. It does make me recognize my privilege on a new level.","I'm currently quarantining with my parents at home, so it is nice to be able to see them (although at times I think we'd all prefer I was back at UCLA instead)."
2020/04/25 8:11:23 AM MDT,Non-STEM,No,In US but outside CA,Yes,Equally motivated,1,1,very overwhelmed and unfocused,everything,learning online has created a lot of anxiety,yes,"relationships, art, and simple living are my philosophy. One positive is that I have more time",New hobbies and new strength
2020/04/25 8:46:11 AM MDT,Non-STEM,No,In US but outside CA,No,Less motivated than before?,2,2,My sense of identity has not changed,Will we be able to attend fall quarter on campus,My anxiety has been insignificantly effected,Zoom has enabled me to stay distant from most people,No effect,More time to relax / spend with family.
2020/04/25 9:24:50 AM MDT,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,I feel excluded from the community because I am on the other side of the country.,When we will return to campus,Iâ€™m very stressed about failing (since I donâ€™t have proper access to help) but I have no motivation to do work.,,School doesnâ€™t seem as important,
2020/04/25 10:30:54 AM MDT,Non-STEM,No,At home in californa,Yes,More motivated,2,2,I miss my boys and the shenanigans we would always find ourselves in. ,Internet speed is a huge issue.,n/a,Zoom has helped a great deal.,Family and friends are the most important things in life.,reflection
2020/04/25 10:37:56 AM MDT,Non-STEM,No,At home in californa,Yes,Equally motivated,1,2,This pandemic has made me think about what it means to belong to UCLA and what makes this school different from the rest. I am leaning more to the side that UCLA during a time like this just means its a hype school.,being more socially awkward ,I feel like I would get more anxiety if it were not for the option of P/NP for 2 of my classes,It has helped to lower the effect of social distancing especially if the class forms group chats ,"I guess I remembered that school life is not everything, sometimes enjoying life comes first ",I get to spend time with my family 
2020/04/25 10:39:49 AM MDT,Non-STEM,No,In US but outside CA,No,Less motivated than before?,2,2,It doesn't feel the same as being on campus and part of the community,I dont know if things will go back to the way they were before,I'm worried im not retaining information/having difficulty focusing on tasks,"It's nice to be able to see my professors and attend a ""live"" class",,I'm spending more time with my parents 
2020/04/25 10:46:51 AM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,"I feel very behind and disconnected from my professors and peers. I can't ask questions as easily, am very frustrated about not being able to pick up on concepts because I either can't understand the professor, they're going too fast and I can't raise my hand to ask a question, etc. ",Grading is too harsh for my classes considering everything that's going on. My anxiety is through the roof and the stress of grades is definitely not helping.,My anxiety has shot through the roof. Had a panic attack this morning.,It has not. I still feel isolated.,It has gotten to be question what I really want to accomplish in life since I can't avoid the heavy questions with the distractions of daily life.,I have been working out more to pass the time.
2020/04/25 11:28:33 AM MDT,STEM,No,At home in californa,Yes,Equally motivated,2,1,"I feel included I just feel like professors need to make the grading scale easier. There are students who are in really difficult living situations right now, and focusing on school is just really hard. ","That life won't go back to normal, and it will be even harder to get a job. ","This pandemic has really heightened my anxiety about academics because I feel like I am not able to show my full ability, and I could if I was in a classroom setting. ","Not really, at the end of the day we still cannot see people. ",This has really affected my philosphy of life. I realize even more that my generations well being is not of concern to those who are in positions of power in our country. ,There are literally none. 
2020/04/25 11:31:37 AM MDT,STEM,No,In US but outside CA,No,Less motivated than before?,2,2,Don't feel like a UCLA student anymore. I need to be on campus to feel like I'm part of UCLA.,My biggest concern is having another quarter online. ,I don't have as much drive to succeed or learn. I fear that I am being neglectful of my academics. ,No it has not. Makes me feel more isolated than ever. ,I realized that life is too short to waste time. I feel like covid 19 took away a part of my life that I could have spent furthering myself. ,Exercise more. 
2020/04/25 11:33:33 AM MDT,Non-STEM,No,At home in californa,No,More motivated,2,2,My sense of belonging after this pandemic will be a bit anxious simply because we have been social distancing and when it goes back to normal it may not feel safe.,I am worried that this pandemic will not end this summer and will continue until 2021 and i will not be able to declare a major. ,"I feel like since I work and I am also a full time student and I commute, I never really have much time to study or be organized and this pandemic has given me more than enough time to actually learn and study the materials in my class.",Academically is has had a great impact because we are able to speak with out professors and TA but my personal life I utilize facetime. ,I have always been a person be out and doing things rather than being home and i think it has affected me in that way. ,"It has given me a-lot of resting time, as well as much more time to focus on my school work"
2020/04/25 11:52:00 AM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,,,,,
2020/04/25 12:16:59 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,I don't feel excluded becauae there's many other latino first generation students,"financial problems, How will my parents make enough ends meet to pay for neccessities.",Every since the pandemic has started my anxiety and depression has been through the roof.,not necessarily. either way I would follow with the guidelines.,its impacted me greatly in my way of thinking and looking at certain things. Family has always been very imporitant but not being able to travel and see my other family members has really taken a toll on me.,"its brought my relationship with my mom and dad closer, Im starting my journey on self love and slef improvement."
2020/04/25 1:05:06 PM MDT,Non-STEM,No,At home in californa,Yes,Equally motivated,1,2,Obviously when you aren't there you don't get to experience anything except classes. You don't really get to meet new people unless you choose to talk to them online randomly. So far my only experience with UCLA is classwork. ,"I don't have any concerns about after the pandemic. My concern as of right now is that tuition cost hasn't been lowered. We are in no way getting the same things we get while actually attending UCLA and being there. We have no access to the gym, libraries, study rooms and all these things that are included in tuition and fees.","It actually helps me, I think it's much more manageable and easier this way because I can make my own schedule that fits for me instead of having to attend lectures in person. This lets me get enough hours at work and do classwork whenever I want to.",Yes zoom has greatly influenced social distancing in both ways.,It hasn't really changed anything.,I enjoy being home with my family and I get to save money on rent this way which is nice. 
2020/04/25 1:06:11 PM MDT,Non-STEM,No,At home in californa,No,Equally motivated,1,2,included,that it will happen again,hasn't,no effect,made me dislike life,im home
2020/04/25 1:18:22 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,2,I have lost some motivation due to feelings that I am losing out one the experience I would have had in in-person instruction,How long we will have to worry about a second wave,,"Yes, it has helped me stay connected to my friends",This has highlighted the importance of taking advantage of the opportunities that you have,I have been able to spend more time practicing guitar and Spanish
2020/04/25 2:54:53 PM MDT,STEM,No,In my apartment,Yes,Less motivated than before?,2,1,its very difficult to feel connected to the campus or even get into the mindset necessary to excel in class. online class and working 20 hours a week is extremely exhausting both physically and emotionally.,"I'm concerned about my finances since i am paying for rent in westwood, but am not living there. Also, im losing a lot of the opportunities that I could be taking advantage of if i was on campus, professionally.","My anxiety has heightened because there's absolutely no structure with education or with how the future seems to be panning out. it's something that is always on my mind, which distracts me from focusing on my academics. In addition, with working and being home there are more things that I have to deal with other than school, and it feels like school is of the lowest of priorities for me at the moment.","Zoom makes it easy to connect with friends without seeing them in person, but it does not replace the real interactions that we can get when in reality not virtual.","I deeply care about helping others over myself. As a peer counselor and someone who works in basic needs, I feel that my efforts would be much more useful going towards helping those in need, instead of myself. This is why I am finding more that school right now is difficult to be a high priority because i know so many others are truly struggling against the virus and still have to deal with the educational system being very insensitive to their needs.","I taken this opportunity to reach out to those who I dont usually reach out to and make sure they are okay, which is nice. "
2020/04/25 3:29:58 PM MDT,Non-STEM,No,In my apartment,No,Less motivated than before?,2,2,I've been doing better than I thought I would be. I'm still in Los Angeles so I do feel belonging to ucla. UCLA does not seem to be that concerned about making it feel like ucla.,"That UCLA will try to act like the restrictions that were eliminated for the pandemic actually had any value in the first place. Such as: P/NP deadlines, non-medical academic accommodations, etc. ",It has made me care less about school,"no. i still am not talking to classmates, and banter is discouraged by the zoom platform","With being distant, I noticed that people's attempts at virtue signaling or displays of moral superiority have little effect on me. I am the boss of my own life, I dont need to base my values on what other people deem important.",I'm working out more
2020/04/25 3:48:09 PM MDT,Non-STEM,No,At home in californa,No,Equally motivated,1,1,"My sense of belonging has not changed.  However, it was not very strong to begin with.",I am concerned for the health and well being of my friends and family.,It has not changed.,Yes.  I can still talk to other students/instructors.,It has not changed.,"The pandemic has allowed me to spend more time at home, which I personally find valuable.  I have enjoyed being able to take a step away from UCLA and be able to spend more time at home."
2020/04/25 4:48:38 PM MDT,STEM,No,At home in californa,No,Equally motivated,2,2,Feel weird ,,,I don't think it helps ,,Don't need to spend too much time driving to school 
2020/04/25 4:52:18 PM MDT,Non-STEM,No,In US but outside CA,No,Equally motivated,2,2,This pandemic has caused some UCLA students to no longer be on a level playing field as others because of their home situations. Being on campus really leveled things out success-wise adademically.,"My biggest concern is the transition back to normal life. I am not really sure how this is going to go, or how long it will take. ",I think my stress with academics has gone up because the online classes are tougher for me. I do not retain the information the first time studying as well as I usually would. ,"Not really, I am an extroverted person who needs to talk to people and interact face to face, not via computer screen.",I think that this pandemic has helped me realize that family is extremely important and that I need to spend as much time with them as I can when I'm free.,I've been able to spend more time with my family and get more sleep.
2020/04/25 6:05:20 PM MDT,STEM,No,At home in californa,Yes,More motivated,2,2,"i feel like ucla is doing as best as they can given the circumstances, and professors for the most part are understanding how hard it is for some of us to focus during this time. i still have professors that expect just as much effort and time (if not more) than they did in regular in-class schooling, which is worrying. for the most part, i still feel included and a sense of community even being 5 hours away from ucla. ",i fear students and staff won't have sufficient time or information about how ucla plans on getting back to normal,"i feel like i need to perform better because i technically have more time at home, but i live in a loud household where focusing is a lot harder, and the anxiety from making sure my loved ones are safe and humanity surviving the pandemic makes focusing on schoolwork that much more difficult",i find myself looking forward to a zoom lecture because it means i get to see other people haha,i appreciate my family a lot more,i have time to work on art that i didn't have time for while at ucla
2020/04/25 6:18:19 PM MDT,Non-STEM,No,In US but outside CA,Yes,Equally motivated,2,1,"It is much more isolated than before. Additionally, the time change hurts my academic schedule. There is basically no interaction between faculty and students outside of lectures.",What will UCLA do to prevent the outbreak of another pandemic while maintaining the college life?,"Many courses were not offered specific to what I want to learn; as a student, I am not learning all I could learn. It is important to remember student academic year plans are strict to avoid paying for more quarters than necessary.",It has to an extent. It is dependent on conflicting schedules that can't be avoided because contact to the outside is not possible.,It has made me much more appreciative while simultaneously eager to become more proactive.,The joy of filling out this form.
2020/04/25 7:40:07 PM MDT,Non-STEM,No,At home in californa,No,Equally motivated,2,1,I still feel a strong sense of belonging to UCLA. I talk with my friends daily which keeps me very connected. I also have to do group projects with keep me very engaged. ,"I am concerned that we will not be able to have large gatherings for a long time which would make it hard for normal school activities, such as parties, game days, classes, and clubs, to continue. ","I feel like I am less stressed because I have more time. My classes are also more leisurely with open note tests and, for some, the ability to make them pass/fail. ",I think it has lowered the effect because I feel more connected to my classmates and professors. If we couldn't zoom I wouldn't really feel that I was at school. ,"It has made me value my health and happiness a lot more. I realize that my friends and the ability to move my body make me the happiest. I think I have become a lot less materialistic, as I don't need so many things to be happy.  ",I sleep a lot more and relax more. I am proud of myself for how I've been able to overcome this and still be happy. 
2020/04/25 8:28:08 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,"I feel much more distant from the UCLA community. Since everyone is at home now, it would make sense that we all have time to communicate more with each other, but it has actually felt like the opposite. It has actually become more difficult to plan a time to talk on the phone or any other method because our schedules seem much less compatible now. I feel very anxious about school and if my friends at UCLA and I do have time to text about how school is going, we all just sugar coat everything and stay positive. My conversations have all seemed to stifle negative feelings about online school because talking negatively may just make us feel worse. That doesn't help me personally because I need to express my negative emotions in order to cope by talking it out with people who can relate, it's just how I deal with things, so the way that lots of the UCLA peers who I talk to are handling it makes it hard for me to cope.","My concerns are about how this pandemic will affect the social aspects of society. For example, I really love our downtowns and local thrift shops here in my city, but after this pandemic, I'm not sure if our smaller stores will have enough money to remain open. I have been hearing lots of people talking about how only restaurants and office buildings will be open in the future and how this could be the end of malls. Since this pandemic has forced us all to rely on technology and being serviced through technology, I'm concerned that even after the pandemic, this might wipe away actual stores now. I am also concerned about how so much screen time (whether for school or work or other recreational activities) will have affected my sleep quality, my eye muscles, depression levels, etc. after such a long quarantine during this pandemic.","This pandemic has really increased my anxiety about success in academics, at least at UCLA. UCLA is really not designed to be online, and I understand that this transition is so new and it happened so fast and our faculty and staff are doing the best they can, but it has taken a toll on me. Several factors have contributed to my anxiety. A few are that I am not as motivated to watch my pre-recorded lecture as if I was going to class, the professors are reading off of powerpoints, there is a lack of guided interactive work to make up for the lost in-person-lecture advantage, and consistent technology issues have made it difficult to follow along with any live discussions. All of these are huge hurdles that I have not been prepared for and that I am trying to navigate on my own because no one has had to go through this before really, so I can't really ask much advice from people. It has helped that UCLA is allowing us to take multiple pass/no-pass grading options, but I really prefer to have the opportunity to keep boosting my GPA, and these new hurdles make it hard to keep up with my performance from before this pandemic.","Zoom has both lowered and increased the effect of social distancing on my academic and social life. It has increased it because the technology issues are so frustrating, and having those frustrations every day and in every interaction made using technology has made me feel less connected and it severely dampens the excitement of finally having a way to connect. It has helped to lower the effect by, of course, being the only means of connecting with the outside world.","It actually hasn't really affected my philosophy of life or what I consider to be the most important. If anything, it has solidified my priorities and makes me more grateful that my upbringing has helped shape the priorities that I do have -- God, family, health, and happiness.","This has had some very cool positive affects. For example, I am now exploring hobbies that I have never had before and talents that I never knew I had, such as belly dancing, playing the piano and ukulele, sketching, watching documentaries, and renovating my mom's house. The way I have been engaging in all of these activities has allowed me to better my relationship with my mom, family, and friends as I share these talents with others and bring happiness to people who need it during this time."
2020/04/25 9:15:58 PM MDT,STEM,No,At home in californa,No,Equally motivated,2,1,"I feel like I'm more on my own academically this quarter in that if I have a question or need help I have to really try to find the help. Also, its really hard to make connections within class.",When will basketball season start,It really hasn't because I know that Ive just got to get stuff done and there isn't any other option,it definitely has because it has allowed for me to interact with my friends without getting close to them,yes I miss sports,I have been able to run every day and get into really good shape
2020/04/25 9:41:59 PM MDT,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,"I think it's going to be hard going back because I haven't made any plans for the next year, and I won't until things are decided at a later date. I did not even have time to set up roots because I was only there for two quarters.",I have almost no motivation right now for online classes. I think it will be a struggle to get that motivation back. Plus getting my GPA back because it is definitely going to suffer this quarter.,Online classes are much harder than I thought they would be. I don't feel the need to go to class anymore if I'm not learning in person because I feel like I could just google everything I need to know now.,It improved academic life. Has not made any impact on social life because I don't know anyone using it to socialize.,N/A. Death is natural.,I get to spend more time with my dog.
2020/04/25 9:52:09 PM MDT,Non-STEM,No,At home in californa,No,More motivated,2,1,I feel like a part of the UCLA community as we face the challenges of this pandemic. ,I am concerned with how classes will be conducted in the Fall and whether in-person classes will be the same as before. I am concerned about the well-being of international students. I know it is a difficult situation for everyone. I am also concerned with the health of our community and the world.,"I am afraid classes and networking events will not be in-person and not happen as often, which might take the community and collaborative environment of UCLA away. ","Yes it has, because it has allowed me to connect to people online as we cannot meet in person.","Health has become more important to me. Before this pandemic, I feel like I took my health for granted, but now, I know it is more of a luxury to be healthy and safe during these times.",I am able to spend more time with my mom now. I appreciate the little things around me more. 
2020/04/25 10:42:28 PM MDT,STEM,No,At home in californa,Yes,Equally motivated,2,1,"i feel a disconnect with ucla, it is hard to get in contact with people and get help because it isn't the same.",finding a job.,i do feel really anxious because even with zoom I feel it is hard to get the help I need,no,"i feel like I will make the most of going out, before the pandemic I already use to spend most of my time in doors.",I've been able to work out more and spend time with my family.
2020/04/26 4:37:31 AM MDT,STEM,Yes,Outside US,Yes,Less motivated than before?,2,1,.,I am worried about my grades. ,It is very hard for me to keep up with classes online... especially because I am taking classes outside of U.S. Some professors are offering live extra credits... which I would have to take lectures at 2am... and wake up around 6am for discussions... I feel like I am feeling tired and stressed more and more. ,. ,.,I get to spend more time with my family! 
2020/04/26 10:18:18 AM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,1,2,I honestly feel better this way. I feel less awkward asking questions and going to office hours. ,I am concerned about how ucla is going to provide for international students after this. Having to pay extra fees while still learning from their home is unfair. Also how are the following quarters to look after this? I'd like to know in order to see if I need to take out loans or not. ,I am concerned doing assignments on time. I work 40 hrs a week to provide for my family which is new. ,"It still feels like I'm learning on a screen. I kind of like it personally. I feel like I still get the information and can even talk to my professors more often. However, meeting people and making friends is unlikely. ","In some ways, it reaffirmed my beliefs that people deserve universal health care, we should adopt a single payer system, and that life is more important than the economy. Also I miss my friends. ","I still get to work, which I am incredibly lucky for. "
2020/04/26 10:54:52 AM MDT,Non-STEM,Yes,In my apartment,No,Less motivated than before?,2,2,It became way harder to interact with peer or professors. Harder to focus on class material during class with Zoom.,Having another online quarter. Graduating without a job. Unpredictability of the future.,It is harder to concentrate and follow online classes,Yes it did.,I used to be a person that always planned ahead of time and thought it calmed me. With the uncertainty of the future I now try to take each day at once.,Better sleeping schedule.
2020/04/26 11:17:58 AM MDT,Non-STEM,No,In US but outside CA,No,Less motivated than before?,1,2,,,"It's hard for me to remain fully motivated while working on schoolwork at home. Because I am not at UCLA, I find it hard to find meaning in my schoolwork which makes studying much harder. I also think the online lecture format makes it harder for me to learn information.",,,
2020/04/26 12:13:58 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,1,"Due to this pandemic, I do feel a more belonging to UCLA. When I first started college, it was such a big change and I did not feel like I belonged. However, through the end of winter quarter and starting this pandemic, I started to miss being at UCLA and definitely feel more connected to the school.","After this pandemic, I am concerned about doing things that I used to before in a more freely manner. Being locked at home and scared to go outside or even eat outdoors is something that I might not be as open to do after the pandemic. It will definitely take some adjusting even after the pandemic is potentially over.","This quarter has been fine in terms of coping academically with the pandemic, however, I am a little afraid if fall quarter has to done remotely as well since I plan to take a little more rigorous classes.","Zoom has helped in some degree. For certain classes like my bio discussion, it is nice to be able to interact with annotations and other features. However, with other classes, it makes it hard to rely on the chat box to have our questions answered or to even interact in class.",The pandemic has really changed my thoughts on leading a more healthy lifestyle. I have started to exercise daily especially since I can't walk as much as I used to at UCLA and also started to eat more healthier.,I have been feeling more relaxed being at home and I have also started a journey to live more healthier through fitness and diet.
2020/04/26 12:13:59 PM MDT,STEM,No,In US but outside CA,No,Less motivated than before?,2,2,I feel a strong sense of belonging to UCLA as the coursework is just as rigorous and challenging as before. The stress levels of the quarter system are uncanny.,I am concerned i will not be able to have in persons classes or discussions in the fall to help me with Physics. In addition i am afraid i wont be able to afford another year at UCLA .,It has increased it significantly because it is a responsibility I have to maintain despite everything thats going on.,It has as i am able to communicate with professors and students.,"It truly has enhanced my love for family, friends, and the beauty of nature. Life is short and can end unexpectedly and it is a gift to be able to enjoy each day.",I get to live back at home with my family and appreciate my home.
2020/04/26 1:23:57 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,I miss being able to interact with other students who are going through college with me.,I would like to know of the challenges that will present itself in the aftermath.,,It has not made social distancing any easier.,"It is a reminder that life is not as stable as I would like, and part of the challenges is adapting.",
2020/04/26 1:48:11 PM MDT,STEM,No,In dorms,No,Less motivated than before?,2,1,"There is less of a sense of community, even within my own friend group since people are so spread out. Even though theoretically everyone has more time, it's still hard to get in touch with people. ",,"I feel like it's harder for me to reach out for help, since before I would go to physical office hours, but virtual office hours are different and with my anxiety I feel like the TAs and professors are less accessible that way. ",,,I've been able to focus on my own health and wellbeing more. I've been working out almost every day!
2020/04/26 2:08:28 PM MDT,STEM,No,At home in californa,No,Equally motivated,1,2,Same as before,Classes will be more compact and more difficult to enroll,None,Zoom helps classes moving on,"In my specific personal circumstance, the pandemic has little effect on my life or philosophy",We become more aware and appreciative of the dedication and sacrifice of health care workers
2020/04/26 2:29:23 PM MDT,Non-STEM,No,At home in californa,Yes,More motivated,2,1,"The pandemic has definitely made things difficult for me in classes, but I now feel less excluded because I know we are all going through the same things and are struggling in similar ways. But I can't imagine the hardships for international students, as they have to adapt to the times. ","The grading systems of the classes, the less-interactiveness, the support","Very much, with already being worried about the pandemic itself, it has affected my anxiety about my classes. I already dropped one class because of the professor's grading system","Zoom has helped tremendously for my classes, and connecting with friends or family. Its very easy to use ",I think this pandemic has taught everyone not to take things for granted and to appreciate the smallest things more. ,"It has helped me focus on myself while im in my own home, work on some of the things i always ignored such as making arts and crafts, working out"
2020/04/26 2:41:09 PM MDT,STEM,No,In my apartment,No,Less motivated than before?,1,1,"I feel as thought this pandemic has brought us together. While I feel like it is more difficult to get help on certain academic matters because I cannot seem my professors/TAs in person, I appreciate the true effort everyone is putting in to make this difficulty as easy as possible. It is difficult to feel a part of UCLA without being on campus, as a campus is a large part of what defines a college. It's not as special anymore, and it's discouraging.","My concerns largely include graduation (I am a senior) and post-graduate opportunities. Everyone knows how important graduation is, and there will not be one this year. Also, my plan was to start volunteering in a research lab, but all the labs are closed down or very restricted, and the need for graduate students as volunteers is extremely low.","I feel less motivated, and therefore my produced work does not reflect who I am at my best. It is difficult to want to try anymore. Therefore I become more stressed about not succeeding when I believe my normal work ordinarily would. ","It hasn't. While its better than nothing, I feel the need to be in the physical presence of someone.","This pandemic has led me to truly appreciate physical activity. Walking the one mile everyday, often multiple times a day, to and from campus was extremely beneficial physically and mentally. I am part of a dance team, and without practice my life feels so boring and borderline meaningless. It is difficult to find the will to do anything nowadays, let alone go workout without a gym, practice, or required walking.","I have found that UCLA's staff are truly passionate about helping their students as much as possible to make this online quarter as effective as possible. There is a sense of community with everyone, it seems, because no one likes this and yet we all understand why this is necessary. (This might also be due to how LA is in its political nature as well, because I am disregarding the extreme right and their blasphemous protests). I feel a deeper appreciation for the outdoors, and I appreciate the ability to take classes outside in the warm sun. "
2020/04/26 4:09:52 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,1,2,"It's important that I continue my education at UCLA. I still am a UCLA student, and connecting with my professors and peers has made me feel connected the same way. It is sad that I haven't seen my college friends in a while, though. ","None, I assume things will go back to normal.","Being at home and doing at my own paced learning has sort of eased my anxieties about doing well in school, but I'm always kept on my toes whenever assignments are due. ",Zoom has been great. It is an effective way to learn and social distance. ,"It made me realize the flaws of the way our country is run and makes me question the validity and competence of some of our leadership.  Now more than ever, I am most appreciative of healthcare workers who are fighting to save lives.  ",I get time to explore my more creative side and work on personal projects. 
2020/04/26 4:22:49 PM MDT,Non-STEM,No,In my apartment,Yes,Less motivated than before?,2,1,feeling anxious and more overwhelmed in regards to my belonging here,"Whether it be safe to go back outside even if the pandemic is ""cleared"" or ""removed""",Heavily. Worried about safety and health but at the same time very worried about doing more for my future,I use zoom only for courses so it hasn't made much of a effect. ,"Its shown to me how more I care about the health of my friends, family, and myself over any coursework given to me.",Give me a deeper connection with the importance in affordable/free health care for all
2020/04/26 4:57:04 PM MDT,Non-STEM,No,In my apartment,Yes,Less motivated than before?,2,1,I will really enjoy having school go back to normal again so I have a sense of having a routine. ,none ,Its stressed me out about academics,yes it has,It has definitely made me feel more appreciative of being around friends and people close to me. ,I have had a lot of time to work out and eat good food. 
2020/04/26 5:04:22 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,,"Being able to regain the sense of interacting with people, socializing and being able to get. back into the school grind ","I fell that it has increased because I have so many other worrisome factors that are preventing me from focusing on my own academics, such as my parents being cut hours from work and that my siblings are home but since they are younger they need of my assistance on transitioning to remote learning, which prevents me from focusing on my own academic tasks",Yes because I feel that I am able to have time to distract myself from the world around me.,,"I have been able to spend more time with my family, I feel that I have better eating and sleeping habits. "
2020/04/26 5:05:24 PM MDT,STEM,No,In US but outside CA,No,Equally motivated,2,1,"I still feel a sense of belonging at UCLA; however, I do miss a lot of the social aspects that come with college. On the other hand, I am appreciative of the technology that I am lucky enough to have that enables me to remain in touch with my friends and extended family.","I am concerned about how my future plans will play out, given that this pandemic has shifted/pushed back quite a bit of things that I needed to finish earlier.",This pandemic has not really affected my anxiety about success.,Zoom has enabled me to continue to perform social distancing.,This pandemic has taught me to be more appreciative of the social interactions that we have on a daily basis.,"This pandemic allowed me to be back with my family, which I am thankful for as an out-of-state student."
2020/04/26 5:36:59 PM MDT,STEM,No,At home in californa,Yes,Equally motivated,2,1,UCLA has done a great job. I feel proud to be a part of this university.,"The health of everyone. Myself, my family, friends, and the whole world.",Online exams are more difficult as I do not own a computer and I have to do it on my phone.,"Yes, I can watch videos away from being near anyone.",My philosophy hasn't changed. It has always been to live each day with a positive and present attitude and to strive for happiness.,More time for myself
2020/04/26 6:04:42 PM MDT,STEM,Yes,Outside US,Yes,Equally motivated,2,1,I'm not returning to ucla,lack of funding ,nope,no,It has made me realise what is important in my life and allowed me to remodel my current situation ,Back home in Aus with family and planning to start studying in Syd
